tray_id,specimen_id,label_group,match_type,verbatim_text,country,stateProvince,county,municipality,locality,verbatimLocality,islandGroup,island,verbatimElevation,habitat,samplingProtocol,recordedBy,identifiedBy,verbatimEventDate,verbatimCoordinates,possibleName,source,otherCatalogNumbers,flags
34_6_10_tray_11,cicindelidae_34_6_10_tray_11_spec_001,,,,United States of America,Texas,Reeves,Toyahvale,Balmorhea State Park,Balmorhea State Park,,,,,,B. Malkin | V.E. Thatcher,,04 Sep 1952,,,manual,,
34_6_10_tray_12,cicindelidae_34_6_10_tray_12_spec_003,,,,Peru,,,Tacna,,,,,,,,A. Pirion,,,,,manual,,
34_6_10_tray_13,cicindelidae_34_6_10_tray_13_spec_001,,,,United States of America,Arizona,,Tucson,,,,,,,,Dr. F. Psota,,4-Aug-27,,,manual,,
34_6_10_tray_14,cicindelidae_34_6_10_tray_14_spec_001,,,,United States of America,Alabama,Saint Clair,Springville,,,,,,,,T. King,,25 Jul 1970,,,manual,,
34_6_10_tray_15,cicindelidae_34_6_10_tray_15_spec_001,,,,Argentina,,,Mendoza,,,,,,,,C.S. Reed,,,,,manual,,
34_6_10_tray_16,cicindelidae_34_6_10_tray_16_spec_001,,,,Mexico,Sonora,,Hermosillo,,,,,,,,B. Malkin,,19 Sep 1952 – 20 Sep 1952,,,manual,,
34_6_10_tray_17,cicindelidae_34_6_10_tray_17_spec_001,,,,Venezuela,,,Caracas,El Paraiso,El Paraiso,,,,,,L.R. Reynolds,,22 May 2026,,,manual,,
34_6_10_tray_17,cicindelidae_34_6_10_tray_17_spec_006,,,,Colombia,Meta,,Villavicencio,,,,,,,,,,,,,manual,,
34_6_10_tray_18,cicindelidae_34_6_10_tray_18_spec_001,,,,Chile,Arica Y Parinacota,,Arica,Tarapaca,Tarapaca,,,,,,L.E. Pena,,30 Jan 1949,,,manual,,
34_6_10_tray_19,cicindelidae_34_6_10_tray_19_spec_002,,,,Australia,,,Cairns,,,,,,,,J.A. Anderson,,,,,manual,,
34_6_11_tray_01,cicindelidae_34_6_11_tray_01_spec_001,,,,Brazil,Goias,,Santa Isabel,Rio Araguaia,"Rio Araguaia, Bananal Island",,Bananal,,,,B. Malkin,,30 Nov 1960,,,manual,,
34_6_11_tray_02,cicindelidae_34_6_11_tray_02_spec_001,,,,Brazil,Mato Grosso,,,"70km N of Mato Verde, Rio Araguaia","70km N of Mato Verde, Rio Araguaia",,,,,,B. Malkin,,30 Nov 1960,,,manual,,
34_6_11_tray_03,cicindelidae_34_6_11_tray_03_spec_001,,,,Uruguay,Canelones,,Atlantida,,,,,,,,G.J. Fernandez,,27 Feb 1934,,,manual,,
34_6_11_tray_04,cicindelidae_34_6_11_tray_04_spec_001,,,,Ecuador,Pastaza,,,"confluence, River Macuma and River Morona","confluence, River Macuma and River Morona",,,,,,B. Malkin,,17 Jul 1971,,,manual,,
34_6_11_tray_05,cicindelidae_34_6_11_tray_05_spec_002,,,,Turkmenistan,,,Ashgabat,"Turkestan, Ashabad","Turkestan, Ashabad",,,,,,,,,,,manual,,
34_6_11_tray_06,cicindelidae_34_6_11_tray_06_spec_001,,,,Brazil,Goias,,Santa Isabel,Rio Araguaia,"Rio Araguaia, Bananal Island",,Bananal,,,,B. Malkin,,29 Nov 1960,,,manual,,
34_6_11_tray_07,cicindelidae_34_6_11_tray_07_spec_001,,,,Brazil,Mato Grosso,,Mato Verde,Rio Araguaia,Rio Araguaia,,,,,,B. Malkin,,06 Nov 1960 – 10 Nov 1960,,,manual,,
34_6_11_tray_08,cicindelidae_34_6_11_tray_08_spec_001,,,,Brazil,Goias,,Santa Isabel,Rio Araguaia,"Rio Araguaia, Bananal Island",,Bananal,,,,B. Malkin,,30 Nov 1960,,,manual,,
34_6_11_tray_09,cicindelidae_34_6_11_tray_09_spec_001,,,,,,,,Upper Amazon,Upper Amazon,,,,,,,,,,,manual,40,
34_6_11_tray_10,cicindelidae_34_6_11_tray_10_spec_002,,,,Venezuela,,,Suapure,"Rio Caura, Mount Juajual","Rio Caura, Mount Juajual",,,,,,E.A. Klages,,04 May 2000,,,manual,,
34_6_11_tray_11,cicindelidae_34_6_11_tray_11_spec_001,,,,Chile,Nuble,,,,,,,,,,,,Oct-86,,,manual,,
